artist,date,genre,pixelsx,pixelsy,size_bytes,source,style,title,in_train,new_filename
Abidin Dino,,illustration,400.0,648.0,111013.0,wikiart,Abstract Expressionism,Saman Sarısı illustration,TRUE,1251.jpg
Abidin Dino,1970.0,portrait,410.0,580.0,73604.0,wikiart,Surrealism,Portrait,TRUE,19923.jpg
Abidin Dino,1980.0,figurative,378.0,474.0,22425.0,wikiart,Expressionism,Hand and the Eye of Needle,TRUE,69346.jpg
Abidin Dino,1989.0,figurative,376.0,478.0,12348.0,wikiart,Surrealism,Hands,TRUE,22041.jpg
Abidin Dino,1961.0,abstract,562.0,672.0,142412.0,wikiart,Abstract Expressionism,Antibes,TRUE,102277.jpg
Abidin Dino,1970.0,flower painting,398.0,500.0,14094.0,wikiart,Surrealism,Flower,TRUE,89754.jpg
Abidin Dino,1955.0,symbolic painting,421.0,560.0,59265.0,wikiart,Surrealism,Disasters of War: Evocations of Goya,TRUE,8909.jpg
Abidin Dino,1956.0,figurative,380.0,750.0,66703.0,wikiart,Surrealism,Uzun Yürüyüş (Long March),TRUE,91285.jpg
Abraham Manievich,,cityscape,353.0,480.0,197926.0,wikiart,Expressionism,Moscow III,TRUE,43420.jpg
Abraham Manievich,1923,cityscape,570.0,518.0,341500.0,wikiart,Expressionism,Camden,TRUE,95605.jpg
Abraham Manievich,,landscape,506.0,443.0,136031.0,wikiart,Post-Impressionism,Winter Village Scene,TRUE,44063.jpg
Abraham Manievich,,cityscape,473.0,442.0,114019.0,wikiart,Expressionism,Town Scene with Bus Stop,TRUE,84290.jpg
Abraham Manievich,1905,cityscape,581.0,479.0,111617.0,wikiart,Post-Impressionism,"Vinnytsia, Yerusalymka District",TRUE,87120.jpg
Abraham Manievich,,cityscape,464.0,431.0,104819.0,wikiart,Post-Impressionism,Barn with Figures,TRUE,62109.jpg
Abraham Manievich,1925,landscape,608.0,421.0,145876.0,wikiart,Expressionism,Untitled,TRUE,76400.jpg
Abraham Manievich,,landscape,600.0,518.0,68253.0,wikiart,Expressionism,Lyrical Landscape,TRUE,36900.jpg
Adam Baltatu,,landscape,504.0,386.0,31628.0,wikiart,Post-Impressionism,Winter at Huși,TRUE,69228.jpg
Adam Baltatu,,landscape,504.0,339.0,24123.0,wikiart,Post-Impressionism,August Day,TRUE,58170.jpg
Adam Baltatu,,landscape,504.0,355.0,28401.0,wikiart,Impressionism,Winter Landscape,TRUE,60419.jpg
Adam Baltatu,,landscape,504.0,319.0,31921.0,wikiart,Impressionism,Village Boundary,TRUE,23850.jpg
Adam Baltatu,,cityscape,504.0,378.0,44958.0,wikiart,Impressionism,Huși Slums Houses,TRUE,95220.jpg
Adam Baltatu,,still life,441.0,349.0,23967.0,wikiart,Impressionism,Still Life With Pipe and Books,TRUE,56110.jpg
Adam Baltatu,,landscape,504.0,360.0,26051.0,wikiart,Post-Impressionism,Houses in Bretania,TRUE,101184.jpg
Adam Baltatu,,genre painting,534.0,341.0,30620.0,wikiart,Impressionism,Children on the Alley,TRUE,87623.jpg
Adja Yunkers,1974.0,abstract,628.0,800.0,258704.0,wikiart,Color Field Painting,Requiem for a Virgin King,TRUE,65608.jpg
Adja Yunkers,1958.0,abstract,768.0,1024.0,121515.0,wikiart,Abstract Expressionism,Embroidered Halo,TRUE,29409.jpg
Adja Yunkers,1973.0,abstract,588.0,800.0,71719.0,wikiart,Color Field Painting,Passages Des Soupias,TRUE,23230.jpg
Adja Yunkers,,figurative,332.0,640.0,118936.0,wikiart,Abstract Expressionism,Miss Ever Ready,TRUE,72872.jpg
Adja Yunkers,1966.0,abstract,800.0,720.0,368997.0,wikiart,Color Field Painting,Hommage to the First Monk Immolating Himself in Saigon,TRUE,41225.jpg
Adja Yunkers,1957.0,abstract,707.0,902.0,208675.0,wikiart,Abstract Expressionism,Composition in Black & Ochre,TRUE,85451.jpg
Adja Yunkers,1969.0,abstract,604.0,800.0,302792.0,wikiart,Color Field Painting,White On Blue II,TRUE,73698.jpg
Adja Yunkers,1961.0,abstract,637.0,800.0,273085.0,wikiart,Abstract Expressionism,Untitled,TRUE,74459.jpg
Adolf Dietrich,1928.0,animal painting,437.0,570.0,164648.0,wikiart,Naïve Art (Primitivism),A Gentleman ,TRUE,99314.jpg
Adolf Dietrich,1940.0,landscape,512.0,337.0,62186.0,wikiart,Naïve Art (Primitivism),Blauer Wintertag mit Schienerberg,TRUE,67873.jpg
Adolf Dietrich,1954.0,animal painting,570.0,440.0,239138.0,wikiart,Naïve Art (Primitivism),Marder,TRUE,43129.jpg
Adolf Dietrich,1941.0,landscape,512.0,381.0,106759.0,wikiart,Naïve Art (Primitivism),Novembersonne am Untersee,TRUE,43442.jpg
Adolf Dietrich,1944.0,animal painting,570.0,570.0,239804.0,wikiart,Naïve Art (Primitivism),Birds on Riser,TRUE,98612.jpg
Adolf Dietrich,1931.0,landscape,512.0,478.0,188088.0,wikiart,Naïve Art (Primitivism),Nachbargarten im Herbst,TRUE,8765.jpg
Adolf Dietrich,1956.0,animal painting,363.0,570.0,182128.0,wikiart,Naïve Art (Primitivism),Sojabohnen,TRUE,8322.jpg
Adolf Dietrich,1934.0,animal painting,512.0,379.0,120773.0,wikiart,Naïve Art (Primitivism),Sechs Meerschweinchen im Stall,TRUE,21059.jpg
Adolf Hitler,,,1338.0,830.0,99968.0,wikiart,,Destroyed Bridge,TRUE,65697.jpg
Adolf Hitler,,,946.0,1244.0,119810.0,wikiart,,The Basler Gate,TRUE,10793.jpg
Adolf Hitler,,,1452.0,940.0,135187.0,wikiart,,Ruins with Arches,TRUE,46143.jpg
Adolf Hitler,,,1122.0,752.0,94439.0,wikiart,,Country Road,TRUE,71383.jpg
Adolf Hitler,1913.0,,464.0,600.0,85686.0,wikiart,,Maritime Nocturno,TRUE,75291.jpg
Adolf Hitler,,,818.0,1126.0,82236.0,wikiart,,Lamberg Castle,TRUE,86822.jpg
Adolf Hitler,,,1332.0,1008.0,100333.0,wikiart,,St. Peter’s Church in Vienna,TRUE,1898.jpg
Adolf Hitler,,,762.0,1196.0,57931.0,wikiart,,Germany,TRUE,37831.jpg
Adolphe Joseph Thomas Monticelli,,genre painting,579.0,785.0,191711.0,wikiart,Romanticism,Elegant gathering,TRUE,6570.jpg
Adolphe Joseph Thomas Monticelli,,genre painting,1000.0,701.0,509833.0,wikiart,Romanticism,The Offering,TRUE,1601.jpg
Adolphe Joseph Thomas Monticelli,c.1881,landscape,1009.0,557.0,225009.0,wikiart,Romanticism,Farmyard with Donkeys and Roosters,TRUE,15980.jpg
Adolphe Joseph Thomas Monticelli,,genre painting,637.0,1000.0,260541.0,wikiart,Romanticism,An evening at the Paiva,TRUE,18371.jpg
Adolphe Joseph Thomas Monticelli,,genre painting,1040.0,810.0,210448.0,wikiart,Romanticism,Roasting Two Pheasants,TRUE,37610.jpg
Adolphe Joseph Thomas Monticelli,c.1882,landscape,1109.0,706.0,231913.0,wikiart,Romanticism,The Hay Card,TRUE,33251.jpg
Adolphe Joseph Thomas Monticelli,1882,still life,600.0,454.0,72943.0,wikiart,Romanticism,Still Life with Sardines and Sea-Urchins,TRUE,30850.jpg
Adolphe Joseph Thomas Monticelli,,still life,801.0,681.0,249491.0,wikiart,Romanticism,Still Life with White Pitcher,TRUE,13600.jpg
Adriaen Brouwer,c.1633,genre painting,420.0,555.0,67246.0,wikiart,Baroque,Youth Making a Face,TRUE,71490.jpg
Adriaen Brouwer,,genre painting,787.0,960.0,531675.0,wikiart,Baroque,The Drinker,TRUE,49946.jpg
Adriaen Brouwer,c.1636,landscape,712.0,513.0,20682.0,wikiart,Baroque,Dune Landscape by Moonlight,TRUE,86298.jpg
Adriaen Brouwer,c.1635,genre painting,1024.0,682.0,403324.0,wikiart,Baroque,Tavern Scene,TRUE,84135.jpg
Adriaen Brouwer,c.1636,landscape,2024.0,1523.0,237478.0,wikiart,Baroque,Moonlit landscape,TRUE,52828.jpg
Adriaen Brouwer,,genre painting,1272.0,960.0,1655422.0,wikiart,Baroque,Farmers Fight Party,TRUE,7898.jpg
Adriaen Brouwer,,genre painting,712.0,950.0,123883.0,wikiart,Baroque,A Boor Asleep,TRUE,18686.jpg
Adriaen Brouwer,,genre painting,993.0,650.0,116682.0,wikiart,Baroque,The Card Players,TRUE,43852.jpg
Adriaen van Ostade,1635,genre painting,1150.0,873.0,170510.0,wikiart,Baroque,Village Tavern with Four Figures,TRUE,33766.jpg
Adriaen van Ostade,1663,genre painting,2784.0,3006.0,4914930.0,wikipedia,Baroque,The Painter in His Workshop,TRUE,50768.jpg
Adriaen van Ostade,1662,portrait,597.0,755.0,53390.0,wikiart,Baroque,Peasant at a Window,TRUE,6668.jpg
Adriaen van Ostade,1665,portrait,1863.0,2100.0,594038.0,wikipedia,Baroque,Portrait of a Scholar,TRUE,72537.jpg
Adriaen van Ostade,,genre painting,718.0,555.0,19410.0,wikiart,Baroque,Reading a Letter,TRUE,75380.jpg
Adriaen van Ostade,c.1655,portrait,1122.0,1255.0,104368.0,wikiart,Baroque,Smoker,TRUE,102685.jpg
Adriaen van Ostade,,genre painting,1943.0,1404.0,294018.0,wikiart,Baroque,Dancing Couple and Merry Company in an Interior,TRUE,19404.jpg
Adriaen van Ostade,c.1653,genre painting,916.0,853.0,152960.0,wikiart,Baroque,Interior of an Inn,TRUE,47544.jpg
Adrien Dax,,abstract,1301.0,1054.0,374781.0,wikiart,Surrealism,Untitled,TRUE,58901.jpg
Adrien Dax,1960.0,,1300.0,1048.0,368202.0,wikiart,Surrealism,Untitled,TRUE,72659.jpg
Adrien Dax,,abstract,750.0,500.0,273415.0,wikiart,Surrealism,Untitled,TRUE,10700.jpg
Adrien Dax,,,600.0,602.0,446204.0,wikiart,Surrealism,Perspective automatique,TRUE,37315.jpg
Adrien Dax,,abstract,750.0,469.0,151477.0,wikiart,Surrealism,Untitled,TRUE,88959.jpg
Adrien Dax,,,650.0,495.0,166731.0,wikiart,Surrealism,Je dis,TRUE,56374.jpg
Adrien Dax,,abstract,350.0,539.0,91963.0,wikiart,Surrealism,Untitled,TRUE,10609.jpg
Adrien Dax,1962.0,,350.0,537.0,91490.0,wikiart,Surrealism,Untitled,TRUE,3903.jpg
Aelbert Cuyp,1650,marina,944.0,598.0,60297.0,wikiart,Baroque,The Maas at Dordrecht in a Storm,TRUE,5876.jpg
Aelbert Cuyp,1650,genre painting,686.0,543.0,49997.0,wikiart,Baroque,"A Distant View of Dordrecht, with a Milkmaid and Four Cow",TRUE,49706.jpg
Aelbert Cuyp,c.1650,marina,2300.0,1540.0,2845083.0,wikiart,Baroque,The Maas at Dordrecht,TRUE,63343.jpg
Aelbert Cuyp,,self-portrait,486.0,600.0,30976.0,wikiart,Baroque,Self-Portrait as a Boy,TRUE,79995.jpg
Aelbert Cuyp,,landscape,1280.0,634.0,151355.0,wikiart,Baroque,View of the Groote Kerk in Dordrecht from the River Maas,TRUE,65727.jpg
Aelbert Cuyp,1644,landscape,944.0,643.0,60550.0,wikiart,Baroque,"Panoramic Landscape with Shepherds, Sheep and a Town in the Distance",TRUE,20387.jpg
Aelbert Cuyp,1655,landscape,1476.0,1097.0,273993.0,wikiart,Baroque,Sunset over the River,TRUE,64205.jpg
Aelbert Cuyp,c.1650,marina,1500.0,1280.0,255158.0,wikiart,Baroque,The Passage Boat,TRUE,29574.jpg
Afro,1957.0,abstract,500.0,337.0,84935.0,wikiart,Lyrical Abstraction,L'uccello Di Fuoco,TRUE,89074.jpg
Afro,1965.0,abstract,500.0,476.0,123072.0,wikiart,Lyrical Abstraction,Composition,TRUE,62399.jpg
Afro,1961.0,abstract,570.0,435.0,220954.0,wikiart,Lyrical Abstraction,Untitled,TRUE,93909.jpg
Afro,1960.0,abstract,500.0,409.0,98940.0,wikiart,Lyrical Abstraction,Untitled (Composition),TRUE,51630.jpg
Afro,1964.0,abstract,570.0,457.0,173414.0,wikiart,Art Informel,Untitled,TRUE,31211.jpg
Afro,1955.0,abstract,570.0,454.0,181476.0,wikiart,Art Informel,Untitled,TRUE,18283.jpg
Afro,1967.0,abstract,512.0,417.0,134021.0,wikiart,Art Informel,La sella,TRUE,54115.jpg
Afro,1973.0,abstract,640.0,464.0,186209.0,wikiart,Art Informel,Untitled,TRUE,71843.jpg
Agnes Lawrence Pelton,1943.0,symbolic painting,1360.0,1600.0,236921.0,wikiart,Precisionism,Future,TRUE,35532.jpg
Agnes Lawrence Pelton,,symbolic painting,815.0,1162.0,334711.0,wikiart,Precisionism,First Spring Garland,TRUE,83500.jpg
Agnes Lawrence Pelton,1931.0,symbolic painting,522.0,800.0,294854.0,wikiart,Precisionism,Untitled,TRUE,82322.jpg
Agnes Lawrence Pelton,1930.0,symbolic painting,355.0,600.0,72208.0,wikiart,Precisionism,Even Song,TRUE,102414.jpg
Agnes Lawrence Pelton,1937.0,symbolic painting,356.0,600.0,51533.0,wikiart,Precisionism,Memory,TRUE,77033.jpg
Agnes Lawrence Pelton,1940.0,symbolic painting,436.0,564.0,32142.0,wikiart,Precisionism,Challenge,TRUE,31650.jpg
Agnes Lawrence Pelton,,symbolic painting,640.0,540.0,118989.0,wikiart,Precisionism,Translation,TRUE,17439.jpg
Agnes Lawrence Pelton,,symbolic painting,516.0,640.0,107333.0,wikiart,Precisionism,Night Fires,TRUE,95166.jpg
Agostino Carracci,,nude painting (nu),650.0,867.0,206841.0,wikiart,Baroque,Messalina in Lisisica's booth,TRUE,24992.jpg
Agostino Carracci,,nude painting (nu),650.0,867.0,206331.0,wikiart,Baroque,Hercules and Deianira,TRUE,84871.jpg
Agostino Carracci,1578,religious painting,1221.0,1791.0,196709.0,wikiart,Baroque,"St. Catherine, from the episode ""Holy Women""",TRUE,103054.jpg
Agostino Carracci,1592,religious painting,415.0,696.0,167866.0,wikiart,Baroque,The Last Communion of St. Jerome,TRUE,58906.jpg
Agostino Carracci,1590,religious painting,372.0,480.0,37943.0,wikiart,Baroque,The Ecstasy of Saint Catherine ,TRUE,8852.jpg
Agostino Carracci,,mythological painting,638.0,863.0,165956.0,wikiart,Baroque,Venus Genitrice,TRUE,44839.jpg
Agostino Carracci,1589,portrait,1051.0,1332.0,354706.0,wikiart,Baroque,"Portrait of Christine of Lorraine, Grand Duchess of Tuscany",TRUE,65141.jpg
Agostino Carracci,,nude painting (nu),626.0,852.0,194989.0,wikiart,Baroque,Julie with an athlete,TRUE,96713.jpg
Ahmed Karahisari,,calligraphy,580.0,505.0,134502.0,wikiart,Ottoman Period,Album,TRUE,30039.jpg
Ahmed Karahisari,,calligraphy,1000.0,818.0,164346.0,wikiart,Ottoman Period,unknown title,TRUE,82088.jpg
Ahmed Karahisari,,calligraphy,542.0,708.0,116918.0,wikiart,Ottoman Period,A large size mushaf,TRUE,93093.jpg
Ahmed Karahisari,,calligraphy,1076.0,1599.0,1059113.0,wikiart,Ottoman Period,"Right part of a double-page frontispiece to a manuscript of religious texts, penned for Süleyman I. c. 1550",TRUE,35965.jpg
Ahmed Karahisari,,calligraphy,474.0,630.0,425070.0,wikipedia,Ottoman Period,Calligraphy Exercise,TRUE,60243.jpg
Ahmed Karahisari,,calligraphy,1000.0,665.0,133588.0,wikiart,Ottoman Period,unknown title,TRUE,13974.jpg
Ahmed Karahisari,,calligraphy,797.0,327.0,121124.0,wikiart,Ottoman Period,Tile,TRUE,12159.jpg
Ahmed Karahisari,,calligraphy,800.0,482.0,86645.0,wikiart,Ottoman Period,unknown title,TRUE,70403.jpg
Akira Kanayama,1957.0,abstract,499.0,500.0,101559.0,wikiart,Art Informel,Work,TRUE,16505.jpg
Akira Kanayama,,abstract,388.0,560.0,128150.0,wikiart,Art Informel,Work,TRUE,84914.jpg
Akira Kanayama,,abstract,412.0,512.0,150516.0,wikiart,Art Informel,Untitled,TRUE,79669.jpg
Akira Kanayama,1957.0,abstract,424.0,450.0,112134.0,wikiart,Art Informel,Work,TRUE,94873.jpg
Akira Kanayama,1957.0,abstract,496.0,365.0,112839.0,wikiart,Art Informel,Work,TRUE,96644.jpg
Aladar Korosfoi-Kriesch,,portrait,794.0,1000.0,217792.0,wikiart,Art Nouveau (Modern),Lady with Tiara,TRUE,49316.jpg
Aladar Korosfoi-Kriesch,1908.0,religious painting,800.0,932.0,113378.0,wikiart,Art Nouveau (Modern),Madonna,TRUE,79266.jpg
Aladar Korosfoi-Kriesch,1912.0,genre painting,851.0,595.0,126416.0,wikiart,Art Nouveau (Modern),Székely Folk Tales,TRUE,81315.jpg
Aladar Korosfoi-Kriesch,1907.0,allegorical painting,996.0,570.0,120836.0,wikiart,Art Nouveau (Modern),Fountain of Art,TRUE,71132.jpg
Aladar Korosfoi-Kriesch,1896.0,portrait,836.0,706.0,167146.0,wikiart,Art Nouveau (Modern),Portrait of the Artist's Wife,TRUE,1313.jpg
Aladar Korosfoi-Kriesch,1918.0,religious painting,540.0,782.0,145246.0,wikiart,,The Good Pastor,TRUE,19628.jpg
Aladar Korosfoi-Kriesch,1908.0,mythological painting,372.0,999.0,78824.0,wikipedia,Art Nouveau (Modern),Cassandra,TRUE,53418.jpg
Aladar Korosfoi-Kriesch,1918.0,symbolic painting,374.0,996.0,78859.0,wikiart,Art Nouveau (Modern),Eagles above the Hero's Grave,TRUE,68712.jpg
Albert Anker,1879.0,genre painting,1280.0,760.0,223453.0,wikiart,Realism,Turnstunde in Ins,TRUE,23438.jpg
Albert Anker,1868.0,genre painting,1255.0,1714.0,883336.0,wikiart,Realism,Der Trinker,TRUE,49066.jpg
Albert Anker,,genre painting,1280.0,826.0,199295.0,wikiart,Realism,Sleeping girl on a wooden bench,TRUE,94553.jpg
Albert Anker,1862.0,genre painting,1280.0,749.0,190962.0,wikiart,Realism,The school exam,TRUE,7654.jpg
Albert Anker,1884.0,genre painting,1280.0,896.0,336625.0,wikiart,Realism,Der Grossvater erzählt eine Geschichte,TRUE,43157.jpg
Albert Anker,1863.0,genre painting,1280.0,775.0,347237.0,wikiart,Realism,Kinderbegräbnis,TRUE,57523.jpg
Albert Anker,1875.0,genre painting,1280.0,988.0,287096.0,wikiart,Realism,Schreibender Knabe mit Schwesterchen,TRUE,7458.jpg
Albert Anker,1861.0,genre painting,681.0,870.0,195448.0,wikiart,Realism,Sunday afternoon,TRUE,24160.jpg
Albert Bierstadt,,landscape,1251.0,810.0,174857.0,wikiart,Luminism,Splendour of the Grand Tetons,TRUE,16678.jpg
Albert Bierstadt,1858,landscape,1299.0,949.0,353467.0,wikiart,Luminism,Pioneers of the Woods,TRUE,33290.jpg
Albert Bierstadt,1867,landscape,1000.0,661.0,188158.0,wikiart,Luminism,The Domes of the Yosemite,TRUE,37432.jpg
Albert Bierstadt,c.1872,landscape,901.0,631.0,439357.0,wikiart,Luminism,"Landscape, Rockland County, California",TRUE,70720.jpg
Albert Bierstadt,,landscape,901.0,650.0,335418.0,wikiart,Romanticism,Snow Capped Moutain at Twilight,TRUE,61754.jpg
Albert Bierstadt,1885,wildlife painting,933.0,667.0,96106.0,wikiart,Romanticism,Deer in a Field,TRUE,3967.jpg
Albert Bierstadt,c.1872,wildlife painting,902.0,656.0,617842.0,wikiart,Luminism,"Seal Rocks, Pacific Ocean, California",TRUE,99268.jpg
Albert Bierstadt,1861,genre painting,1010.0,707.0,112303.0,wikiart,Luminism,The Trapper's Camp,TRUE,82760.jpg
Albert Bloch,1916,symbolic painting,574.0,800.0,125263.0,wikiart,Expressionism,Figures on Dark Ground,TRUE,30347.jpg
Albert Bloch,1911,genre painting,800.0,668.0,130843.0,wikiart,Expressionism,The dancer (Ragtime),TRUE,49505.jpg
Albert Bloch,1914,symbolic painting,723.0,800.0,152151.0,wikiart,Symbolism,Lied I,TRUE,25809.jpg
Albert Bloch,1941,landscape,707.0,800.0,173436.0,wikiart,Expressionism,Gulls,TRUE,101517.jpg
Albert Bloch,,genre painting,800.0,628.0,176123.0,wikiart,Expressionism,For clown IV,TRUE,11899.jpg
Albert Bloch,1911,genre painting,600.0,800.0,129013.0,wikiart,Expressionism,The Three Pierrots No. 2,TRUE,89591.jpg
Albert Bloch,c.1939,landscape,800.0,523.0,145461.0,wikiart,Expressionism,Garden Glimpse,TRUE,64964.jpg
Albert Bloch,1942,genre painting,723.0,800.0,158553.0,wikiart,Symbolism,The blind man,TRUE,43838.jpg
Albert Joseph Moore,1866,genre painting,800.0,554.0,194850.0,wikiart,Academicism,Pomegranates,TRUE,67833.jpg
Albert Joseph Moore,1890,genre painting,990.0,580.0,217600.0,wikiart,Academicism,A Summer Night,TRUE,80110.jpg
Albert Joseph Moore,c.1881,portrait,748.0,2409.0,1430748.0,wikiart,Academicism,Blossoms,TRUE,4505.jpg
Albert Joseph Moore,c.1864,genre painting,550.0,800.0,180126.0,wikiart,Academicism,Dancing Girl Resting,TRUE,97052.jpg
Albert Joseph Moore,c.1875,genre painting,1510.0,2066.0,1721497.0,wikiart,Academicism,A Sleeping Girl,TRUE,78710.jpg
Albert Joseph Moore,c.1868,sketch and study,451.0,700.0,117838.0,wikiart,Academicism,Study of Two Female Figures,TRUE,100889.jpg
Albert Joseph Moore,1879,genre painting,583.0,800.0,240782.0,wikipedia,Academicism,A Workbasket,TRUE,65960.jpg
Albert Joseph Moore,c.1870,genre painting,416.0,1000.0,142478.0,wikipedia,Academicism,Shuttlecock ,TRUE,21062.jpg
Albert Marquet,1904.0,marina,1185.0,969.0,530349.0,wikiart,Post-Impressionism,The Port of Marseliles,TRUE,84150.jpg
Albert Marquet,1906.0,marina,1200.0,973.0,458154.0,wikiart,Post-Impressionism,"The Port, Le Havre",TRUE,80047.jpg
Albert Marquet,1912.0,nude painting (nu),1008.0,1280.0,458153.0,wikiart,Post-Impressionism,Nude on a Divan,TRUE,46217.jpg
Albert Marquet,1898.0,still life,902.0,646.0,762815.0,wikiart,Divisionism,"Fruit, Knife and Napkin",TRUE,89128.jpg
Albert Marquet,,landscape,605.0,480.0,198364.0,wikiart,Post-Impressionism,River scene,TRUE,68564.jpg
Albert Marquet,1908.0,marina,1012.0,838.0,86146.0,wikiart,Post-Impressionism,Bay of Naples,TRUE,14508.jpg
Albert Marquet,1905.0,cityscape,1260.0,1009.0,569471.0,wikiart,Post-Impressionism,Harbor of Menton,TRUE,55056.jpg
Albert Marquet,1905.0,cityscape,956.0,768.0,297608.0,wikiart,Fauvism,The Louvre Embankment,TRUE,36659.jpg
Albert Trachsel,1910.0,landscape,570.0,344.0,141399.0,wikiart,Symbolism,Blaue Bergkuppe,TRUE,57786.jpg
